# Rime user dictionary
#@/db_name	wubi86_jidian.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	8083
#@/user_id	70ef9364-8391-414d-98f4-a1f5a8757344
egcn 	悬	c=1 d=1 t=7132
egl 	助	c=4 d=2.95556 t=8014
egrt 	助手	c=2 d=1.99005 t=8024
ep 	爱	c=4 d=1 t=7019
epc 	受	c=1 d=1 t=5405
es 	采	c=1 d=1 t=2274
esaw 	采花	c=1 d=1 t=2284
ese 	彩	c=1 d=1 t=3668
et 	用	c=42 d=2.62195 t=8083
etkk 	服务器	c=2 d=1.00719 t=7591
etyn 	用户	c=20 d=5.96455 t=7597
eu 	胶	c=1 d=1 t=4653
euk 	脱	c=1 d=1 t=878
eusm 	脱机	c=3 d=1.01341 t=7580
euyn 	腾讯	c=1 d=1 t=2811
ewg 	脸	c=2 d=1 t=5902
ey 	及	c=1 d=1 t=2725
eyjf 	及时	c=2 d=1.00628 t=7533
f 	土	c=2 d=0.0936825 t=8083
f 	地	c=22 d=0.46711 t=8083
fahh 	截止	c=1 d=1 t=7957
fal 	载	c=1 d=1 t=6017
falt 	截图	c=2 d=1.81873 t=1794
faud 	裁判	c=1 d=0.177284 t=8083
faut 	霸道	c=1 d=1 t=5333
fb 	地	c=1 d=1 t=1949
fbfh 	地址	c=5 d=1.37228 t=4249
fbqr 	地铁	c=1 d=0.0652193 t=8083
fcdy 	动态	c=10 d=1.25737 t=7988
fcl 	动	c=1 d=0.254107 t=8083
fcp 	运	c=1 d=1 t=3541
fcrf 	支持	c=2 d=1.00104 t=4502
fcu 	云	c=4 d=2.85493 t=3483
fcu 	去	c=41 d=0.656253 t=8083
fdfi 	需求	c=2 d=1.57121 t=5137
fdjf 	城里	c=1 d=1 t=7022
fdm 	需	c=1 d=1 t=2225
fds 	需要	c=1 d=1 t=6235
ffff 	土	c=1 d=1 t=4817
ffhw 	填	c=1 d=1 t=4006
ffuf 	地址递增	c=-1 d=1 t=7264
ffuf 	封闭	c=2 d=1.9802 t=7265
fg 	二	c=12 d=0.137381 t=8083
fge 	博	c=1 d=1 t=3667
fggh 	干	c=6 d=1.23514 t=5285
fgh 	十	c=9 d=0.0523397 t=8083
fghg 	士	c=1 d=1 t=2902
fgi 	坏	c=2 d=1.00017 t=4793
fgky 	干嘛	c=1 d=1 t=5576
fglh 	十四	c=1 d=1 t=948
fgxw 	二维	c=2 d=1.31822 t=4179
fh 	直	c=3 d=1.0444 t=7080
fha 	越	c=2 d=1.97045 t=3776
fhg 	址	c=16 d=0.0645703 t=8083
fhi 	趟	c=1 d=1 t=6309
fhjc 	赶紧	c=1 d=1 t=1478
fhl 	盐	c=2 d=0.0309618 t=8083
fhn 	起	c=6 d=1.91867 t=7116
fhnu 	起飞	c=2 d=1.92774 t=6587
fhru 	直接	c=6 d=0.0553871 t=8083
fhu 	走	c=5 d=0.331211 t=8083
fhv 	超	c=1 d=1 t=3729
fhvc 	起始	c=3 d=1.00211 t=4224
fhw 	真	c=25 d=1.29864 t=8083
fhwe 	趁	c=2 d=1.01841 t=3782
fhwy 	真伪	c=1 d=1 t=1809
fhym 	超市	c=1 d=0.071719 t=8083
figo 	未来	c=2 d=1.01822 t=6879
fj 	进	c=3 d=1.46767 t=8060
fjf 	埋	c=2 d=0.037068 t=8083
fjfh 	韩	c=1 d=1 t=999
fjk 	井	c=2 d=1 t=5211
fjtk 	进程	c=19 d=2.55583 t=7982
fjya 	进度	c=1 d=1 t=5733
fkcq 	喜欢	c=2 d=1.55711 t=7146
fkhk 	露	c=1 d=1 t=4833
fku 	嘉	c=1 d=1 t=2032
fm 	南	c=1 d=1 t=5821
fnet 	专用	c=1 d=1 t=7984
fnr 	声	c=1 d=1 t=6361
fnud 	卖	c=2 d=0.0934807 t=8083
fnv 	亏	c=1 d=1 t=6453
fnw 	块	c=10 d=4.46538 t=7381
fo 	赤	c=3 d=1.00701 t=4131
fomt 	赤峰	c=1 d=1 t=2197
fp 	过	c=27 d=1.11925 t=8083
fprh 	过年	c=2 d=1.2276 t=3999
fq 	无	c=4 d=1 t=6281
fqjg 	元旦	c=1 d=1 t=925
fqp 	远	c=1 d=1 t=4993
fqpi 	元宵	c=1 d=1 t=5028
fqqu 	均匀	c=1 d=1 t=2886
fqtk 	远程	c=1 d=1 t=1752
fqud 	无关	c=2 d=1.93239 t=5236
fquv 	无痕	c=1 d=1 t=2016
fqyc 	无序	c=4 d=1.72708 t=7603
ft 	才	c=13 d=1.44779 t=8083
ftbt 	教	c=2 d=0.398519 t=8083
ftgn 	考	c=2 d=0.0672055 t=8083
ftha 	考虑	c=2 d=1.92312 t=3755
ftj 	者	c=3 d=1 t=8056
ftjb 	都	c=27 d=1.03558 t=7863
ftvn 	老鼠	c=1 d=1 t=6825
ftx 	老	c=1 d=0.0428521 t=8083
fu 	增	c=1 d=1 t=4487
fv 	雪	c=5 d=1 t=4696
fw 	夫	c=2 d=1 t=5966
fwrq 	替换	c=2 d=1.97045 t=981
fwyc 	零	c=1 d=1 t=1114
fym 	坑	c=1 d=1 t=3698
g 	一	c=62 d=2.26412 t=8045
ga 	开	c=14 d=0.901073 t=8083
gaaw 	开花	c=2 d=1.9802 t=6989
gae 	形	c=1 d=1 t=4276
gah 	武	c=1 d=1 t=7033
gaic 	武汉	c=2 d=1.01561 t=6955
gaid 	开源	c=1 d=0.084163 t=8083
gaj 	弄	c=3 d=1.00002 t=7067
gajh 	刑	c=1 d=0.362402 t=8083
gaqi 	开销	c=1 d=1 t=2895
gaud 	开头	c=1 d=1 t=4448
gavc 	开始	c=4 d=1.03298 t=8083
gcfj 	到	c=45 d=1.34553 t=8083
gcgf 	至于	c=2 d=1.00827 t=1797
gcjf 	到时	c=1 d=0.112478 t=8083
gd 	天	c=18 d=0.2334 t=8083
gdgd 	天天	c=4 d=1 t=7163
gdqt 	天猫	c=1 d=1 t=824
ge 	表	c=13 d=2.08521 t=7347
gedy 	静态	c=3 d=1.14331 t=7990
gef 	青	c=5 d=4.52113 t=2542
geg 	玥	c=1 d=1 t=1854
geol 	青烟	c=1 d=1 t=880
geqy 	青岛	c=7 d=3.25937 t=3766
gerh 	青年	c=1 d=1 t=6995
gf 	于	c=2 d=1.00128 t=6210
gfh 	玕	c=4 d=3.55068 t=2544
gfq 	玩	c=2 d=1.61878 t=6896
gftt 	玩笑	c=1 d=1 t=4904
gfud 	玩着	c=1 d=1 t=6898
gg 	五	c=7 d=1.9802 t=7611
ggfh 	一起	c=2 d=1.04009 t=3988
ggg 	王	c=7 d=1.00204 t=6276
gggf 	青琅玕	c=1 d=1 t=6734
gggh 	一下	c=7 d=0.114763 t=8046
gggo 	一来	c=1 d=0.0515605 t=8083
gghk 	一点	c=1 d=0.1 t=4486
ggi 	环	c=1 d=1 t=7995
ggkh 	环路	c=1 d=1 t=8001
ggpe 	一家	c=2 d=0.110727 t=4405
ggqk 	一句	c=1 d=0.390628 t=8083
ggsu 	一样	c=2 d=1.13068 t=1314
ggte 	一般	c=1 d=1 t=1503
ggtt 	五笔	c=4 d=0.119754 t=8083
gguq 	一次	c=4 d=2.00414 t=2283
ggut 	一首	c=1 d=1 t=2716
ggw 	琴	c=1 d=1 t=3220
ggwf 	一会	c=1 d=0.125556 t=8083
ggwh 	一个	c=7 d=0.458406 t=8083
gh 	下	c=34 d=1.1508 t=8083
ghad 	下期	c=1 d=1 t=6714
ghd 	正	c=2 d=1.00005 t=5357
ghfa 	下载	c=1 d=1 t=2965
ghfv 	下雪	c=1 d=1 t=1237
ghgy 	下班	c=2 d=0.0488012 t=8083
ghip 	正常	c=2 d=1.01304 t=5303
ghlp 	下边	c=1 d=0.100005 t=4630
ghtf 	下午	c=3 d=1.01093 t=3297
ghtg 	政策	c=2 d=1.98511 t=2199
ghxy 	正统	c=1 d=1 t=2766
ghyw 	政府	c=1 d=0.186374 t=8083
gijg 	还是	c=1 d=0.107466 t=7664
gip 	还	c=61 d=1.86251 t=8083
gitf 	还行	c=1 d=1 t=5045
gj 	理	c=1 d=1 t=2989
gjf 	理	c=1 d=1 t=1216
gjqe 	理解	c=1 d=1 t=2792
gk 	事	c=5 d=2.69447 t=5309
gklp 	逼	c=1 d=1 t=3313
gkp 	带	c=11 d=0.171831 t=8083
gkv 	事	c=10 d=0.1764 t=8083
gkwx 	融化	c=1 d=1 t=5200
gkya 	速度	c=1 d=1 t=5561
gkyw 	豆腐	c=1 d=1 t=2037
gkyx 	速率	c=3 d=2.9178 t=4771
gldm 	画面	c=1 d=1 t=5944
gm 	现	c=4 d=0.08291 t=8083
gmdh 	现在	c=8 d=0.272532 t=8083
gmdn 	现成	c=1 d=1 t=1248
gmf 	再	c=10 d=0.787808 t=8083
gmgd 	两天	c=1 d=1 t=2497
gmhk 	两点	c=1 d=1 t=3298
gmlp 	两边	c=1 d=0.1 t=7858
gmpu 	现实	c=1 d=1 t=5656
gmqt 	刺猬	c=1 d=1 t=7032
gmsv 	两根	c=1 d=0.100079 t=7842
gmuq 	两次	c=1 d=1 t=1356
gmwh 	两个	c=3 d=0.105544 t=6999
gmwt 	责任	c=1 d=1 t=3417
gmww 	两	c=4 d=0.625638 t=8083
gmy 	丽	c=1 d=1 t=5038
gn 	与	c=2 d=1.93239 t=5234
go 	来	c=24 d=1.28101 t=8083
gog 	亚	c=1 d=1 t=3665
goiy 	亚洲	c=2 d=1.91851 t=1035
gopu 	严实	c=1 d=1 t=6978
gotg 	严重	c=1 d=1 t=1493
gqit 	死活	c=1 d=1 t=1558
gqiy 	遨游	c=1 d=1 t=3797
gqjo 	烈	c=1 d=1 t=3035
gqlg 	列车	c=1 d=1 t=2905
gqqi 	死锁	c=4 d=3.86363 t=8006
gqto 	熬	c=2 d=1 t=6914
